judul;pasal;jenis_penertiban;jenis_pelanggaran;enabled
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 14 ayat 3;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang memanfaatkan air sungai dan danau untuk kepentingan usaha kecuali atas izin Gubernur atau pejabat yang ditunjuk.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 15;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang mengambil, memindahkan atau merusak tutup got, selokan atau saluran lainnya serta komponen bangunan pelengkap jalan, kecuali dilakukan oleh petugas untuk kepentingan dinas.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 16 ayat 1;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang menangkap ikan dan hasil laut lainnya dengan menggunakan bagan, bahan peledak atau bahan/alat yang dapat merusak kelestarian lingkungan di perairan lepas pantai.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 16 ayat 2;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang mengambil pasir laut dan terumbu karang yang dapat merusak kelestarian lingkungan biota laut di perairan lepas pantai.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 16 ayat 3;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang membuang limbah bahan berbahaya dan beracun ke saluran pemukiman, sungai dan laut sebatas 12 (dua belas) mil laut;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 17 ayat 1;TERTIB LINGKUNGAN;Dilarang menangkap, memelihara, memburu, memperdagangkan atau membunuh hewan tertentu yang jenisnya ditetapkan dan dilindungi oleh undang-undang.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 17 ayat 2;TERTIB LINGKUNGAN;Setiap pemilik binatang peliharaan wajib menjaga hewan peliharaannya untuk tidak berkeliaran di lingkungan pemukiman.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 17 ayat 3;TERTIB LINGKUNGAN;Setiap orang atau badan pemilik hewan peliharaan wajib mempunyai tanda daftar/sertifikasi.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 18;TERTIB LINGKUNGAN;Dilarang merusak hutan mangrove;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 19 huruf a;TERTIB LINGKUNGAN;Dilarang membuat,menjual dan menyimpan petasan dan sejenisnya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 19 huruf b;TERTIB LINGKUNGAN;Dilarang membunyikan petasan dan sejenisnya kecuali atas izin Pejabat yang ditunjuk;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 20;TERTIB LINGKUNGAN;Dilarang membangun dan bertempat tinggal di bawah jalan layang, di bawah tol, jalur hijau, taman dan tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 21 huruf a;TERTIB LINGKUNGAN;Dilarang mencoret-coret, melukis, menempel iklan di dinding, jembatan, tiang listrik, pohon, sarana umum lainnya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 21 huruf b;TERTIB LINGKUNGAN;Dilarang membuang dan menumpuk sampah di jalan, sungai, jalur hijau, sarana umum lainnya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 21 huruf c;TERTIB LINGKUNGAN;Dilarang membuang air besar dan kecil di jalan, jalur hijau, taman, sungai dan saluran air;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf a;TERTIB LINGKUNGAN;"Dilarang merusak jaringan pipa air minum;";TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf b;TERTIB LINGKUNGAN;Dilarang membalik arah meter air dengan cara merusak, melepas atau menghilangkan segel pabrik & dinas;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf c;TERTIB LINGKUNGAN;Dilarang menyadap air minum langsung dari pipa distribusi atau pipa dinas sebelum meter air;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf d;TERTIB LINGKUNGAN;Dilarang menjual air minum persil lapangan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf e;TERTIB LINGKUNGAN;Dilarang mengubah ukuran dan/atau menambah bak penampungan air minum pada hydrant;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 22 huruf f;TERTIB LINGKUNGAN;Dilarang mendistribusikan air minum dari hydrant dengan segala jenis pipa kepada pihak lain;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 23 ayat 1;TERTIB LINGKUNGAN;Dilarang mengambil air permukaan dan air tanah untuk keperluan air minum komersial, industri, peternakan dan pertanian, irigrasi, pertambangan dan untuk kepentingan lainnya yang bersifat komersial tanpa izin;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 25 ayat 2;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang berdagang di trotoar, halte dan tempat umum sebagai pedagang kaki lima;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 25 ayat 3;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang membeli barang di pedagang kaki lima di tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 27 ayat 1;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang menempatkan benda-benda untuk sesuatu usaha di tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 27 ayat 2;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang membagikan selebaran di tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 27 ayat 3;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang menerima selebaran di tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 28 ayat 1;TERTIB TEMPAT DAN USAHA TERTENTU;Setiap orang/badan dilarang melakukan pekerjaan atau bertindak sebagai perantara karcis kendaraan umum, pengujian kendaraan bermotor, karcis hiburan dan/atau kegiatan lainnya yang sejenis tanpa izin;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 29 ayat 1 huruf a;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang melakukan usaha pembuatan, perakitan, penjualan dan memasukkan becak atau barang yang difungsikan sebagai becak dan/atau sejenisnya.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 29 ayat 1 huruf b;TERTIB TEMPAT DAN USAHA TERTENTU;Diarang mengoperasikan dan menyimpan becak dan/atau sejenisnya.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 29 ayat 1 huruf c;TERTIB TEMPAT DAN USAHA TERTENTU;Diarang mengusahakan kendaraan bermotor/tidak bermotor sebagai sarana angktan yang tidak termasuk dalam pola angkutan umum yang ditetapkan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 29 ayat 3;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang menggunakan jasa kendaraan bermotor kecuali telah mendapat izin dari Pejabat yang ditunjuk;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 30 ayat 1;TERTIB TEMPAT DAN USAHA TERTENTU;Setiap usaha pemotongan hewan ternak wajib dilakukan di Rumah Pemotongan Hewan yang ditetapkan oleh Gubernur.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 31 ayat 1;TERTIB TEMPAT DAN USAHA TERTENTU;Setiap orang atau badan yang melakukan tata niaga daging yang dikonsumsi oleh konsumen muslim wajib mencantumkan label halal sesuai dengan ketentuan peraturan perundang-undangan.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 31 ayat 2;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang menjual, mengedarkan, menyimpan, mengelola daging dan/atau bagian-bagian lainnya yang : a. berupa daging gelap, b. berupa daging selundupan, c. tidak memenuhi syarat-syarat kesehatan dan tidak layak dikonsumsi;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 31 ayat 3;TERTIB TEMPAT DAN USAHA TERTENTU;Penyelenggarakan usaha restoran/rumah makan yang makanannya dikonsumsi oleh konsumen muslim wajib mencantumkan label halal sesuai lengan ketentuan peraturan perundang-undangan.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 32;TERTIB TEMPAT DAN USAHA TERTENTU;Setiap pengusaha daging, pemasok daging, penggilingan daging dan pengolahan daging wajib memiliki izin;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 33;TERTIB TEMPAT DAN USAHA TERTENTU;Setiap usaha untuk memasukan atau mengeluarkan ternak ke dan dari daerah harus mendapat rekomendasi dari pejabat yang berwenang;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 34;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang melakukan penampungan, penyaluran tenaga kerja atau pengasuh tanpa Pejabat yang ditunjuk;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 35;TERTIB TEMPAT DAN USAHA TERTENTU;Dilarang melakukan pengumpulan, penampungan barang- barang bekas yang mengganggu ketertiban umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 36 ayat 1 huruf a;TERTIB BANGUNAN;Dilarang mendirikan bangunan atau benda lain yang menjulang, menanam atau membiarkan, tumbuh pohon atau tumbuh-tumbuhan lain di dalam kawasan Saluran Udara Tegangan Tinggi (SUTET) pada radius sesuai dengan ketentuan yang ditetapkan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 36 ayat 1 huruf b;TERTIB BANGUNAN;Dilarang mendirikan bangunan pada ruang milik jalan, ruang milik sungai, ruang milik setu, ruang milik waduk, ruang milik danau, taman dan jalur hijau, kecuali untuk kepentingan dinas;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 36 ayat 1 huruf c;TERTIB BANGUNAN;Dilarang mendirikan bangunan di pinggir rel kereta api dan di bawah jembatan kereta api;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 36 ayat 2;TERTIB BANGUNAN;Setiap orang atau badan wajib menjaga serta mmelihara lahan, tanah dan bangunan di lokasi yang dimilikinya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 36 ayat 3;TERTIB BANGUNAN;Setiap orang atau badan wajib menggunakan bangunan miliknya sesuai dengan izin yang telah ditetapkan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 37 ayat 1;TERTIB BANGUNAN;Dilarang membangun menara/tower komunikasi, kecuali mendapat izin dari Gubernur atau pejabat yang ditunjuk.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 37 ayat 2;TERTIB BANGUNAN;Pemilik/Pengelola menara/tower komunikasi wajib menjamin keamanan dan keselamatan dari berbagai kemungkinan yang dapat membahayakan atau merugikan orang lain atau badan atau fungsi menara/tower komunikasi tersebut;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 38 ayat a;TERTIB BANGUNAN;Setiap orang / badan diwajibkan memelihara pagar pekarangan dan memotong pagar hidup yang berbatasan dengan jalan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 38 ayat b;TERTIB BANGUNAN;Setiap orang/badan diwajibkan membuang bagian pohon / tumbuhan yang mengganggu keamanan dan ketertiban;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 38 huruf c;TERTIB BANGUNAN;Setiap orang/badan diwajibkan memelihara dan mencegah pengrusakan bahu jalan atau trotoar;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 39 ayat 1;TERTIB SOSIAL;Setiao orang / badan dilarang meminta bantuan / sumbangan di jalan, pasar, kendaran umum, lingkungan pemukiman, rumah sakit, sekolah dan kantor;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 40 huruf a;TERTIB SOSIAL;Dilarang menjadi pengemis, pengamen, pedagang asongan dan pengelap mobil;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 40 huruf b;TERTIB SOSIAL;Dilarang menyuruh orang lain menjadi pengemis, pengamen, pedagang asongan dan pengelap mobil;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 40 huruf c;TERTIB SOSIAL;Dilarang membeli kepada pedagang atau memberikan sejumlah uang/barang kepada pengemis, pengamen dan pengelap mobil;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 41;TERTIB SOSIAL;Setiap orang yang mengidap penyakit yang meresahkan masyarakat tidak diperkenankan berada di jalan, jalur hijau, taman dan tempat-tempat umum lainnya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 42 ayat 1;TERTIB SOSIAL;Setiap orang dilarang bertingkah laku atau berbuat asusila di jalan, jalur hijau, taman atau tempat-tempat umum lainnya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 42 ayat 2 huruf a;TERTIB SOSIAL;Dilarang menjadi penjaja seks komersial;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 42 ayat huruf b;TERTIB SOSIAL;Dilarang menyuruh, memfasilitasi, membujuk, memaksa orang lain untuk menjadi penjaja seks komersial;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 42 ayat 2 huruf c;TERTIB SOSIAL;Dilarang memakai jasa penjaja seks komersial;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 43;TERTIB SOSIAL;Dilarang menyediakan dan/atau menggunakan bangunan atau rumah sebagai tempat untuk berbuat asusila.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 44;TERTIB SOSIAL;Dilarang menyelenggarakan dan/atau melakukan segala bentuk kegiatan perjudian;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 45;TERTIB SOSIAL;Dilarang menyediakan tempat dan menyelenggarakan segala bentuk undian dengan memberikan hadiah dalam bentuk apapun kecuali mendapat izin;TRUE
