NO;PASAL;PERDA;JENIS PENERTIBAN;JENIS PELANGGARAN
29;Pasal 11 ayat 2;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang atau badan dilarang menyelenggarakan dan/atau mengatur perparkiran tanpa izin
30;Pasal 12 huruf a;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;"Dilarang memasuki atau berada di jalur hijau atau aman yang bukan untuk umum;"
31;Pasal 12 huruf b;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang melakukan perbuatan yg merusak pagar jalur hijau atau taman beserta kelengkapannya
32;Pasal 12 huruf c;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang bertempat tinggal di jalur hjau / tempat umum
33;Pasal 12 huruf d;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang menyalahgunakan fungsi jalur hijau, taman dan tempat-tempat umum
34;Pasal 12 huruf e;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang berada, berdiri, duduk, jongkok di jalur hijau, taman,serta tempat-tempat umum
35;Pasal 12 huruf f;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang melompati / menerobos jembatan atau pagar, atau tempat-tempat umum
36;Pasal 12 huruf g;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang memotong, menebang pohon atau tanaman yang tumbuh di sepanjang jalur hijau dan taman
37;Pasal 12 huruf h;PERDA NO. 8 TAHUN 2007;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang berjongkok dan berdiri di atas bangku taman serta membuang sisa permen karet pada bangku taman.
38;Pasal 13 huruf a;PERDA NO. 8 TAHUN 2007;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;"Dilarang membangun tempat mandi cuci kakus, hunian/tempat tinggal atau tempat usaha di atas saluran sungai dan bantaran sungai serta di dalam kawasan setu, waduk dan danau;"
39;Pasal 13 huruf b;PERDA NO. 8 TAHUN 2007;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang memasang/menempatkan kabel atau pipa di bawah atau melintasi saluran sungai serta di dalam kawasan setu, waduk dan danau
40;Pasal 14 ayat 1;PERDA NO. 8 TAHUN 2007;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Setiap orang dilarang mandi, membersihkan anggota badan, mencuci pakaian, kendaraan atau benda-benda dan/atau memandikan hewan di kolam-kolam kelengkapan keindahan kota.
41;Pasal 14 ayat 2;PERDA NO. 8 TAHUN 2007;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Setiap orang dilarang mengambil air dari air mancur, kolam-kolam kelengkapan keindahan kota dan tempat lainnya yang sejenis kecuali apabila hal ini dilaksanakan oleh petugas untuk kepentingan dinas.
42;Pasal 14 ayat 3;PERDA NO. 8 TAHUN 2007;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang memanfaatkan air sungai dan danau untuk kepentingan usaha kecuali atas izin Gubernur atau pejabat yang ditunjuk.
